"input","output","section_texts"
"IT IS OBLIGATORY
FOR the child’s welfare
TO be the court’s paramount consideration
WHEN/IF/WHERE a court determines any question with respect to—
(a) the upbringing of a child; or
(b) the administration of a child’s property or the application of any income arising from it","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""the child’s welfare"",
  ""to"": ""be the court’s paramount consideration"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""a court determines any question with respect to— (a) the upbringing of a child; or (b) the administration of a child’s property or the application of any income arising from it"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
  ]
}","[
  ""section-1""
]"
"IT IS OBLIGATORY
FOR the court
TO have regard to the general principle that any delay in determining the question is likely to prejudice the welfare of the child
WHEN/IF/WHERE any question with respect to the upbringing of a child arises in any proceedings.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""the court"",
  ""to"": ""have regard to the general principle that any delay in determining the question is likely to prejudice the welfare of the child"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""any question with respect to the upbringing of a child arises in any proceedings."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/1"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/7""
  ]
}","[
  ""section-1""
]"
"IT IS OBLIGATORY
FOR the court
TO have to regard the welfare checklist factors in paragraphs (a) to (g) of section 1(3)
WHEN/IF/WHERE the court is considering whether to make, vary, or discharge a section 8 order and that action is opposed by any party to the proceedings
UNLESS the court is not taking into consideration whether to vary, make, or discharge a special guardianship order or an order under Part IV of the Act.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""the court"",
  ""to"": ""have to regard the welfare checklist factors in paragraphs (a) to (g) of section 1(3)"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""the court is considering whether to make, vary, or discharge a section 8 order and that action is opposed by any party to the proceedings"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
    },
    {
      ""type"": ""UNLESS"",
      ""text"": ""the court is not taking into consideration whether to vary, make, or discharge a special guardianship order or an order under Part IV of the Act."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
  ]
}","[
  ""section-1""
]"
"IT IS OBLIGATORY
FOR a court
TO have regard in particular to—
(a) the ascertainable wishes and feelings of the child concerned (considered in the light of his age and understanding);
(b) his physical, emotional and educational needs;
(c) the likely effect on him of any change in his circumstances;
(d) his age, sex, background and any characteristics of his which the court considers relevant;
(e) any harm which he has suffered or is at risk of suffering;
(f) how capable each of his parents, and any other person in relation to whom the court considers the question to be relevant, is of meeting his needs;
(g) the range of powers available to the court under this Act in the proceedings in question
WHEN/IF/WHERE the circumstances mentioned in subsection (4) occur.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""a court"",
  ""to"": ""have regard in particular to— (a) the ascertainable wishes and feelings of the child concerned (considered in the light of his age and understanding); (b) his physical, emotional and educational needs; (c) the likely effect on him of any change in his circumstances; (d) his age, sex, background and any characteristics of his which the court considers relevant; (e) any harm which he has suffered or is at risk of suffering; (f) how capable each of his parents, and any other person in relation to whom the court considers the question to be relevant, is of meeting his needs; (g) the range of powers available to the court under this Act in the proceedings in question"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""the circumstances mentioned in subsection (4) occur."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
  ]
}","[
  ""section-1""
]"
"IT IS PROHIBITED
FOR a court
TO make the order or any of the orders
WHEN/IF/WHERE the court is considering whether or not to make one or more orders under this Act with respect to a child
UNLESS it considers that doing so would be better for the child than making no order at all.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1"",
  ""type"": ""PROHIBITED"",
  ""for"": ""a court"",
  ""to"": ""make the order or any of the orders"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""the court is considering whether or not to make one or more orders under this Act with respect to a child"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
    },
    {
      ""type"": ""UNLESS"",
      ""text"": ""it considers that doing so would be better for the child than making no order at all."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/7"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
  ]
}","[
  ""section-1""
]"
"IT IS OBLIGATORY
FOR the child's father and mother
TO each have parental responsibility for the child
WHEN/IF/WHERE they were married to, or civil partners of, each other at the time of the child's birth.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""the child's father and mother"",
  ""to"": ""each have parental responsibility for the child"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""they were married to, or civil partners of, each other at the time of the child's birth."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
  ]
}","[
  ""section-2""
]"
"IT IS OBLIGATORY
FOR the child's mother
TO have parental responsibility for the child
WHEN/IF/WHERE the child’s father and mother were not married to, or civil partners of, each other at the time of his birth","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""the child's mother"",
  ""to"": ""have parental responsibility for the child"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""the child’s father and mother were not married to, or civil partners of, each other at the time of his birth"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
  ]
}","[
  ""section-2""
]"
"IT IS PERMITTED
FOR the child's father
TO have parental responsibility for the child
WHEN/IF/WHERE he has acquired it (and has not ceased to have it) in accordance with the provisions of this Act.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
  ""type"": ""PERMITTED"",
  ""for"": ""the child's father"",
  ""to"": ""have parental responsibility for the child"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""he has acquired it (and has not ceased to have it) in accordance with the provisions of this Act."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
  ]
}","[
  ""section-2""
]"
"IT IS OBLIGATORY
FOR the child's mother
TO have parental responsibility for the child
WHEN/IF/WHERE a child has a parent by virtue of section 43 of the Human Fertilisation and Embryology Act 2008 and is not a person to whom section 1(3) of the Family Law Reform Act 1987 applies","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""the child's mother"",
  ""to"": ""have parental responsibility for the child"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""a child has a parent by virtue of section 43 of the Human Fertilisation and Embryology Act 2008 and is not a person to whom section 1(3) of the Family Law Reform Act 1987 applies"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
  ]
}","[
  ""section-2""
]"
"IT IS OBLIGATORY
FOR the other parent of the child
TO have parental responsibility for the child
WHEN/IF/WHERE a child has a parent by virtue of section 43 of the Human Fertilisation and Embryology Act 2008 and is not a person to whom section 1(3) of the Family Law Reform Act 1987 applies
WHEN/IF/WHERE the mother has acquired parental responsibility for the child (and has not ceased to have it) in accordance with the provisions of this Act.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""the other parent of the child"",
  ""to"": ""have parental responsibility for the child"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""a child has a parent by virtue of section 43 of the Human Fertilisation and Embryology Act 2008 and is not a person to whom section 1(3) of the Family Law Reform Act 1987 applies"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
    },
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""the mother has acquired parental responsibility for the child (and has not ceased to have it) in accordance with the provisions of this Act."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
  ]
}","[
  ""section-2""
]"
